TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
99825970175550399942355342544285610928879132255993922905528061229793556283091,1753969713959,1753969717585,1753969717648,,,,,3689
77794708213951640069005094396199452836244951082042027260311054363127680635784,1753969719381,1753969727851,1753969743884,1753969728505,1753969743884,,,24503
40040973682469623838545452556545562146648847718127461922712142915010570402911,1753969760055,1753969783530,1753969812755,1753969783596,1753969812755,,,52700
92427729091064719402493944436594215813577065173153292190927864946109524365474,1753969760096,1753969789280,1753969818079,1753969789510,1753969818079,,,57983
20318511235575106159842135430055332036063206448129584273903997771131299859693,1753969719390,1753969727964,1753969738616,1753969728102,1753969738616,,,19225
35864568075769105875333671423195441201547906426965777932992901386329213527481,1753969719428,1753969728693,1753969728840,,,,,9412
2023913679883422720264160389004789113029945906453205880979738813161055278645,1753969724542,1753969733534,1753969733614,,,,,9072
87976721679065819571648874611565103647301555493904540502613059444451623355283,1753969734899,1753969758689,1753969782940,1753969758796,1753969782940,,,48041
99616139643000970972816190297868469432715302905209883177391481890723716155202,1753969729661,1753969742981,1753969743092,,,,,13430
82656585445124905477039391104578447680050665679654259432243476229024874169193,1753969729724,1753969742914,1753969743348,,,,,13624
20033846685606131718843501896980428961697695349783325888984329847957758888936,1753969754941,1753969777857,1753969808576,1753969777891,1753969808576,,,53635
7602167801566959850126846693283212738039673970198152784440032251370585107789,1753969765202,1753969808547,1753969818951,1753969808617,1753969818951,,,53748
105011802076253110321519653455545905992994364819947893646890829200641903640633,1753969734867,1753969758689,1753969788870,1753969758796,1753969788870,,,54003
91096263504942008026395755428736406453708027741129217638359771701754707861905,1753969739989,1753969767636,1753969803135,1753969767763,1753969803135,,,63145
28797393117851196655626920045311176355528446400401513981312745226872539683561,1753969754980,1753969782877,1753969782940,,,,,27960
82038089785170132155814868945300579625017537829666114470167190912319784587363,1753969760087,1753969789280,1753969818079,1753969789510,1753969818079,,,57992
37258624584185988425228017543845245671267660257858963159739261485701356965202,1753969765187,1753969793536,1753969823616,1753969793580,1753969823616,,,58428
50091481295375210806135301854541408623867827352325063695370976420056890059747,1753969760136,1753969792712,1753969792853,,,,,32717
54765064655043796310056569564557886090748534049357975227106686426192572667822,1753969713802,1753969717818,1753969722737,1753969717878,1753969722737,,,8935
89300867752159179220484169879353424641201575912351091820318449923114000783432,1753969719434,1753969727851,1753969737887,1753969728505,1753969737887,,,18452
81775634621464080335587643658881690968290753583462629116154452138578982005231,1753969719370,1753969728716,1753969743092,1753969728892,1753969743092,,,23722
51011640698710257438973075970367036411880458822438894995352048431480270096755,1753969719380,1753969728716,1753969738560,1753969728892,1753969738560,,,19179
21869884760565574222256779087796926247174818627357662448638825316874683423090,1753969724624,1753969738519,1753969768619,1753969738560,1753969768619,,,43994
67358128512969705298299075859875581938419012902121700537590251967717418830057,1753969754969,1753969782631,1753969818958,1753969782793,1753969818958,,,63988
109721556600185255803799497036329432920686042404740637299919194886473584824542,1753969714223,1753969717818,1753969723578,1753969717878,1753969723578,,,9355
86061320035334985104636120441415260207887091535582892089512661443584509235879,1753969719386,1753969727964,1753969737757,1753969728102,1753969737757,,,18370
51892143245299928388506326988259412866167566380796752282727078243396241681837,1753969734828,1753969758992,1753969782793,1753969759185,1753969782793,,,47964
57338377166430456592785966255411176072532657801102411410658794489645434121996,1753969734927,1753969762859,1753969789510,1753969762911,1753969789510,,,54583
55663933307844252779377423667950530293882045639455620663734842117301073029715,1753969734888,1753969763540,1753969792928,1753969763614,1753969792928,,,58039
102557320483228369688141616536181382369222588813706760981561911193790044066083,1753969754959,1753969777631,1753969818958,1753969777759,1753969818958,,,63998
42964895131676004694760976819381872643164722295857387718990538964823977960886,1753969719407,1753969728716,1753969738560,1753969728892,1753969738560,,,19152
46646280507498448593305810647720798035398546143382441978869537199205008914607,1753969729763,1753969747624,1753969778612,1753969747781,1753969778612,,,48848
14311311217387755927120077482334554236242742465456437291411318936983614795624,1753969734866,1753969757980,1753969778573,1753969758076,1753969778573,,,43707
66070662656017361368824321411711017451562747690736648748332920202770149936793,1753969734924,1753969763531,1753969792853,1753969763576,1753969792853,,,57928
