TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
59204534341538564577259779652523302494823896851225668171695357986945620921221,1753970564273,1753970568441,1753970573740,1753970568639,1753970573740,,,9466
89203898313471823426737712205011579429209549376105470695493284542301708505200,1753970590255,1753970623096,1753970659567,1753970623135,1753970659567,,,69311
31450198148295425024823132279532886763068551176731294598795523760822989113687,1753970604828,1753970628094,1753970659567,1753970628137,1753970659567,,,54738
58124675847159443667580462276153156096807303395651435501664739999278850374566,1753970604834,1753970633747,1753970633896,,,,,29062
94671513989489560811217109112388510637201244186965925836887639628821724891935,1753970615470,1753970663446,1753970674531,1753970663512,1753970674531,,,59060
84703957710752162587179898013649627940846315459179750921670204139628103800191,1753970564215,1753970568417,1753970573448,1753970568635,1753970573448,,,9232
93649987792814963467829929101176304317325398523575661900489369872729864565779,1753970564296,1753970573381,1753970583486,1753970573431,1753970583486,,,19190
52939278921738613212441200268825377183690925889663900247937217677382072859229,1753970569530,1753970578408,1753970593487,1753970578462,1753970593487,,,23956
8616909339598797475931982373530144798783251615262343230233120880189741870494,1753970574646,1753970583418,1753970583486,,,,,8840
3764921446705489171299389174613973289300564490923509599249498163391082060912,1753970584939,1753970608848,1753970608982,,,,,24042
41618593745995306229991587565035040559465377754392557494294854662465483493493,1753970590236,1753970618444,1753970643152,1753970618493,1753970643152,,,52916
65041373713057584180949552501625850006604124190107030039858333030123168013530,1753970609891,1753970638847,1753970663132,1753970638974,1753970663132,,,53240
20046865209678261042358266796970126889889778497291016603860415722214676399284,1753970615198,1753970643108,1753970668863,1753970643152,1753970668863,,,53664
44695349225335852558325432779029680532546663289384972071766313036170416081551,1753970569425,1753970578708,1753970593105,1753970578845,1753970593105,,,23679
22325715624424836827570718083642134611021121197175619302346594277538906520970,1753970569582,1753970583402,1753970598126,1753970583512,1753970598126,,,28543
33615459967153653085461764803003580997956524858986275803709887736327171472132,1753970584942,1753970613438,1753970643502,1753970613518,1753970643502,,,58559
34460917784213214372997214941541010030903201954336009184736801418720486270431,1753970604842,1753970638446,1753970663132,1753970638516,1753970663132,,,58289
56890275667266455023674675000772757019666208573475318103521749022648296232953,1753970609960,1753970643480,1753970668863,1753970643538,1753970668863,,,58903
40145301972787628147539704771685742674482474638583870284255253565437775692984,1753970569339,1753970578408,1753970578462,,,,,9122
25026170380774938109936258926597382871040888766198885900496414058551563765181,1753970569575,1753970583418,1753970598126,1753970583486,1753970598126,,,28550
75377257221428935719195111441740129804598914299226937380537428019182669060401,1753970585121,1753970618435,1753970643152,1753970618513,1753970643152,,,58030
43308220471605465129789077257200447251539751000088255852567708255865649459706,1753970615275,1753970653756,1753970673475,1753970653861,1753970673475,,,58200
17194486653699431655314894686244742139918379258694379473787117616930936421029,1753970574641,1753970583418,1753970598126,1753970583486,1753970598126,,,23484
73642541708177042583770680647853837805803210283846503991059420312322232263714,1753970574688,1753970588401,1753970613507,1753970588473,1753970613507,,,38818
30661553961237697855867337253384121839336084423111180229277259922907227418007,1753970579825,1753970608848,1753970633141,1753970608982,1753970633141,,,53316
32227320686233855357969979351543023223410443215763612198902102897856354020177,1753970585081,1753970613438,1753970643502,1753970613518,1753970643502,,,58421
26697935410375384740036624254869784105078395595157039126580265824910462203262,1753970590220,1753970618740,1753970663512,1753970618883,1753970663512,,,73291
115516639646603209902483766867288674208688643841943783024648142786552857027501,1753970604738,1753970628468,1753970628523,,,,,23785
3713628810559090590648894479167556434313976489081448044704540216610091118547,1753970604728,1753970628468,1753970659567,1753970628523,1753970659567,,,54838
79206332894619349485113038971446710988806757042493978117051995274160582726049,1753970609883,1753970633097,1753970668511,1753970633141,1753970668511,,,58628
90876812888048514279171465754005159978709940026621553612541501695886675282418,1753970564216,1753970568417,1753970573740,1753970568635,1753970573740,,,9523
112344780316741833256046808189985976208642891412670391905811617861798652976970,1753970574638,1753970583061,1753970583109,,,,,8470
39820406882108825787879905774190678061243005169606027454041953493784809894752,1753970574663,1753970584042,1753970598126,1753970584368,1753970598126,,,23463
6147520433967624591750381303615359845866810636105889017459803676793132583766,1753970609940,1753970638102,1753970663494,1753970638144,1753970663494,,,53554
