TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
106415750222941363675326126265320035133711264543278505950521876609517736668931,1753968968815,1753968997462,1753969027965,1753968997503,1753969027965,,,59150
50760625892948829410370200121393015736940581823659561095042998173879323298013,1753968968817,1753968997755,1753969027518,1753968997884,1753969027518,,,58700
27906035065727215948846362212710840206021104796113282558521115631381612261304,1753968973871,1753969002826,1753969042527,1753969002980,1753969042527,,,68656
16489960072948300686683477134887575674458769450646460276907448063036600158789,1753968973911,1753969008029,1753969036596,1753969008231,1753969036596,,,62684
25984056284582411862283238016785269255505359193550585293562883694912846732255,1753968989046,1753969017841,1753969041433,1753969018010,1753969041433,,,52387
70164496753661948158065269457173240216191004379183334842403951364489199065582,1753968994169,1753969022823,1753969053219,1753969022976,1753969053219,,,59050
50990543255583568988202059841155911959940751945445910631050078149633564830578,1753968953319,1753968962554,1753968972861,1753968962638,1753968972861,,,19542
30223051381943749749369075300374205878769318586847019130452177166809825787070,1753968963694,1753968992717,1753968992834,,,,,29139
28690216881587105383559978063515485417444868346460060013171712092980993326656,1753968988974,1753969012507,1753969012563,,,,,23589
48594858054005141474009307402830516045903946303251742974784472382393173911532,1753968999248,1753969042610,1753969051658,1753969042662,1753969051658,,,52409
76793463944735749012232396665704647416620851879930788051664769467494384805775,1753968958522,1753968972456,1753968972495,,,,,13972
53834043074809767466010723370481286339845120504039220115230868596020072023575,1753968968765,1753968992654,1753968992722,,,,,23956
87458924747272179096081491647582016720358275002630059153513712966821723255806,1753968968813,1753968997462,1753969027965,1753968997503,1753969027965,,,59152
92264091608481743735300769590771874435527945547405037934134155513084584342816,1753968994160,1753969022823,1753969022976,,,,,28815
75563997129558462546401439542778628035656618149678329234670826251242432886089,1753968999235,1753969026391,1753969026437,,,,,27202
76017248817490772474569405927553142378751242005372035225606934333816878205958,1753968994192,1753969027827,1753969052728,1753969027965,1753969052728,,,58535
101373922302377355295965794848014058432639112967006749349843399966419266133138,1753968968820,1753969002826,1753969002980,,,,,34160
114268223244416898320823419928222627925766087663372287067174345336043652705477,1753968968740,1753968992654,1753968992722,,,,,23981
6287691780343068635850578329396643013851780026691664897944744504969633633790,1753968968778,1753968992654,1753969022984,1753968992722,1753969022984,,,54205
34050619302939425898563399836859294608693019360879422655998882532224758982458,1753968973848,1753969002478,1753969042662,1753969002521,1753969042662,,,68814
80448694228917016910671509727959040963245090039683912065879687593915336826741,1753968988976,1753969012924,1753969013081,,,,,24104
2241670831713604471146482317210350545816440331184128077990457317188130830418,1753968994175,1753969021583,1753969047875,1753969021653,1753969047875,,,53699
109255265946168609073057798842994628518513100993288085697036645760590832939995,1753968994137,1753969027587,1753969052728,1753969027640,1753969052728,,,58591
14000716814763673101984549789600058770894916903017689327679226245907456848999,1753968999234,1753969027478,1753969053219,1753969027518,1753969053219,,,53984
108632179680823268511209630450503861752959859355708920462678434474703628183027,1753968948198,1753968957529,1753968967879,1753968957589,1753968967879,,,19680
92906509837691096757421320237221644666910204720125326991467782660318846439342,1753968953372,1753968962554,1753968962638,,,,,9265
81923166912254949952829156416287274275400836516557185133168914462440553421361,1753968953384,1753968962730,1753968978324,1753968962919,1753968978324,,,24940
40225614024017404206529281692843232736041130793598959959091762657467652496749,1753968994178,1753969027827,1753969052728,1753969027965,1753969052728,,,58549
56114069330291399514134052680327154145764430813659215821528205394103597485462,1753968948226,1753968957529,1753968957589,,,,,9363
64810256605106070362325448321904858490249977022555151553604141681387873926601,1753968958518,1753968966368,1753968983045,1753968966411,1753968983045,,,24527
88170162800928265124482923559901083652866965539033396942681926381272436677328,1753968994150,1753969027587,1753969027640,,,,,33489
11849403719914624803663536304799527944595523720675100498720277230124237576711,1753968999255,1753969037687,1753969062585,1753969037765,1753969062585,,,63329
27097712801350753604783189491560660294547131401363931800471139015037026623477,1753968958496,1753968967738,1753968992834,1753968967879,1753968992834,,,34337
111124272432727936107499058732954718453623243456948901662508575282601013538070,1753968963676,1753968982834,1753969012563,1753968983045,1753969012563,,,48886
56113648067937353792067016656231456800107471043644473004279783122084466657935,1753968973896,1753969002826,1753969042527,1753969002980,1753969042527,,,68631
40827746860478134894265154755680971675707298106408086746108834745567019692271,1753968988968,1753969012924,1753969013081,,,,,24113
51045797916236371455164058944863269117468026991577765991867863389561315052053,1753968968810,1753968997462,1753969021653,1753968997503,1753969021653,,,52842
20284198701910331116266700925261934410493959144189391604596688354898399549686,1753968989048,1753969017476,1753969047875,1753969017524,1753969047875,,,58826
99520738437864898536038702262879351411447499251673413789209005744544956142298,1753968989049,1753969022843,1753969052728,1753969022984,1753969052728,,,63678
48205415901020640027178610620556716904593266821158095790427811589727557559974,1753968953408,1753968963038,1753968977614,1753968963182,1753968977614,,,24205
28769587706242979468135768027252088182492680964027734743680008879375270545076,1753968958527,1753968972456,1753968997884,1753968972495,1753968997884,,,39357
